career_name_en,career_code,faculty_name,link_to_career_curriculum
Product Design ,CD-EDCOM-133-2016,"Faculty of Art, Design and Audiovisual Communication",http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=LI004&lang=en
Graphic Design ,CD-EDCOM-106-2016,"Faculty of Art, Design and Audiovisual Communication",http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=LI005&lang=en
Media Production ,CD-EDCOM-125-2016,"Faculty of Art, Design and Audiovisual Communication",http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=LI006&lang=en
Biology ,FCV-CD-094-2016,Faculty of Life Sciences,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI011&lang=en
Nutrition and Dietetics ,FCV-CD-095-2016,Faculty of Life Sciences,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=LI008&lang=en
Ingeniería Agrícola y Biológica ,FCV-CD-093-2016,Faculty of Life Sciences,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI026&lang=en
Chemical Engineering ,CD-FCNM-16-151,Faculty of Natural Sciences and Mathematics,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI002&lang=en
Statistics Engineering ,CD-FCNM-16-152,Faculty of Natural Sciences and Mathematics,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI008&lang=en
Logistics and Transportation Engineering ,CD-FCNM-16-150,Faculty of Natural Sciences and Mathematics,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI009&lang=en
Degree in Mathematics ,CD-FCNM-16-153,Faculty of Natural Sciences and Mathematics,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI010&lang=en
Auditing and Management  Control ,R-CD-FCSH-0425-2016,Faculty of Social Sciences and Humanities,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=LI001&lang=en
Economics ,R-CD-FCSH-0423-2016,Faculty of Social Sciences and Humanities,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=LI002&lang=en
Degree in Archaeology ,FICT-CD-015-2016,Faculty of Social Sciences and Humanities,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=LI003&lang=en
Business Administration ,R-CD-FCSH-0424-2016,Faculty of Social Sciences and Humanities,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=LI007&lang=en
Tourism Bachelor ,CD-MAR-128-2016,Faculty of Social Sciences and Humanities,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=LI009&lang=en
Mining Engineering ,FICT-CD-067-2016,Faculty of Geosciences Engineering,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI003&lang=en
Petroleum Engineering ,FICT-CD-027-2016,Faculty of Geosciences Engineering,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI004&lang=en
Civil Engineering ,FICT-CD-026-2016,Faculty of Geosciences Engineering,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI005&lang=en
Geological Engineering ,FICT-CD-068-2016,Faculty of Geosciences Engineering,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI012&lang=en
Computer Science ,2016-413,Faculty of Electrical and Computer Engineering,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI013&lang=en
Electrical Engineering ,2016-418,Faculty of Electrical and Computer Engineering,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI014&lang=en
Electronics and Automation Engineering ,2016-417,Faculty of Electrical and Computer Engineering,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI015&lang=en
Telecommunications Engineering ,2016-414,Faculty of Electrical and Computer Engineering,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI017&lang=en
Telematics Engineering ,2016-415,Faculty of Electrical and Computer Engineering,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI018&lang=en
Industrial Engineering ,CD-2016-11-07-89,Faculty of Mechanical Engineering and Production Sciences,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI001&lang=en
Mechanical Engineering ,CD-2016-11-07-89,Faculty of Mechanical Engineering and Production Sciences,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI007&lang=en
Food Engineering ,CD-2016-11-07-89,Faculty of Mechanical Engineering and Production Sciences,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI020&lang=en
Materials Engineering ,CD-2016-11-07-89,Faculty of Mechanical Engineering and Production Sciences,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI021&lang=en
Mechatronic Engineering ,CD-2016-11-07-89,Faculty of Mechanical Engineering and Production Sciences,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI022&lang=en
Naval Engineering ,CD-MAR-131-2016,Faculty of Maritime Engineering and Marine Sciences,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI023&lang=en
Aquaculture Enginnering ,CD-MAR-130-2016,Faculty of Maritime Engineering and Marine Sciences,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI024&lang=en
Oceanographic Engineering ,CD-MAR-129-2016,Faculty of Maritime Engineering and Marine Sciences,http://www.mallacurricular.espol.edu.ec/Malla/Imagen?codCarrera=CI025&lang=en
